room_type,person_capacity,bedrooms,lng,lat,City,realSum,metro_dist,attr_index_norm,rest_index_norm,host_is_superhost,biz,cleanliness_rating,guest_satisfaction_overall,dist,Crime Index,Safety Index,geo_id,lng_lat_count,dup_rank_within_pair
Entire home/apt,3.0,1,13.415,52.513000000000005,berlin,298.5650182294101,0.2964597125261764,28.734172990583225,46.69394933458672,False,1,10.0,84.0,1.1645807413584348,42.24,57.76,13.415_52.513000000000005,2,1
Entire home/apt,6.0,1,13.415,52.513000000000005,berlin,289.8008787510517,0.2964669771149864,28.738762083721596,46.092956428644975,False,1,10.0,80.0,1.1645850107560438,42.24,57.76,13.415_52.513000000000005,2,2
Entire home/apt,2.0,0,13.447,52.518,berlin,199.58866972048236,0.2010672855705507,15.7741768245616,28.612029866759464,True,0,10.0,96.0,2.1521787880182655,42.24,57.76,13.447_52.518,2,1
Entire home/apt,4.0,1,13.447,52.518,berlin,312.9382069739179,0.2010442172413568,15.769207457435922,29.35822330019892,True,0,10.0,98.0,2.152161957793603,42.24,57.76,13.447_52.518,2,2
Private room,3.0,1,13.448,52.474,berlin,193.62905487519865,0.652763870129192,9.763891187044194,18.13473131349923,False,0,10.0,99.0,5.898308138358902,42.24,57.76,13.448_52.474,2,1
Private room,4.0,1,13.448,52.474,berlin,187.90315041600448,0.6527579196282675,9.763868555338302,18.13465499619573,False,0,10.0,96.0,5.898311914465712,42.24,57.76,13.448_52.474,2,2
Private room,3.0,0,13.456,52.515,berlin,139.29139010937644,0.1551693326040463,13.803240953160298,28.150678128430062,False,1,9.0,86.0,2.8360164207997247,42.24,57.76,13.456_52.515,2,1
Private room,4.0,0,13.456,52.515,berlin,157.52080022436195,0.1551585589271056,13.801038716387897,28.517664303709697,False,1,9.0,90.0,2.8360047021798787,42.24,57.76,13.456_52.515,2,2
Entire home/apt,2.0,1,16.32966,48.19211,vienna,173.9008484678494,0.598060472173932,7.479300258038762,2.90915711886701,False,1,10.0,87.0,3.744722355019032,26.85,73.15,16.32966_48.19211,2,1
Private room,2.0,1,16.32966,48.19211,vienna,139.0739312343688,0.59804208308703,7.479043560173017,2.9412976711763545,False,1,10.0,87.0,3.7446962399504913,26.85,73.15,16.32966_48.19211,2,2
Entire home/apt,3.0,1,16.336,48.206,vienna,224.8556669705257,0.2492499405304372,7.636111023542503,3.7986204495759015,False,0,9.0,94.0,2.8124822161107574,26.85,73.15,16.336_48.206,2,1
Entire home/apt,4.0,2,16.336,48.206,vienna,242.1522567374892,0.2492421025438539,7.636132715226771,3.7986373845387473,False,0,10.0,91.0,2.8124927499070167,26.85,73.15,16.336_48.206,2,2
Entire home/apt,2.0,1,16.337,48.192,vienna,381.226187971858,0.1278032264604315,7.56669028996366,3.518577212081842,False,1,10.0,100.0,3.2860104388257367,26.85,73.15,16.337_48.192,2,1
